94,132,16,15
94,133,16,15
93,134,16,15
92,136,16,15
91,137,15,14
90,138,15,14
90,139,15,14
90,140,15,14
90,143,15,14
90,145,16,15
91,147,16,15
92,149,16,15
92,151,16,15
92,153,16,15
92,154,16,15
91,155,16,15
91,156,15,14
90,157,15,14
89,158,15,14
88,160,15,14
87,161,15,14
86,162,15,14
84,163,15,14
84,164,16,15
84,165,16,15
83,166,16,15
83,167,16,15
83,167,16,15
83,168,16,15
83,169,16,15
83,170,16,15
82,171,16,15
82,172,15,14
81,172,15,14
80,172,15,14
80,173,15,14
79,172,15,14
80,174,15,14
81,174,15,14
82,175,15,14
83,175,15,14
83,176,16,15
85,176,15,14
85,176,15,14
87,175,15,14
90,177,15,14
87,177,16,15
87,178,16,15
86,179,16,15
91,176,16,15
91,177,15,14
88,179,15,14
86,181,16,15
86,182,16,15
87,183,16,15
87,184,15,14
88,185,16,15
89,186,16,15
90,186,16,15
91,187,16,15
93,187,16,15
94,188,16,15
94,189,16,15
94,190,16,15
94,191,16,15
95,192,16,15
95,193,16,15
94,194,16,15
94,195,15,14
94,197,15,14
94,196,15,14
93,196,16,15
93,197,16,15
91,197,16,15
89,197,16,15
87,197,16,15
85,197,16,15
84,197,16,15
82,197,16,15
81,197,16,15
80,196,16,15
79,196,16,15
79,195,16,15
79,194,16,15
80,193,16,15
81,192,16,15
82,191,16,15
83,189,17,16
84,187,17,16
85,185,17,16
86,183,18,16
87,181,18,17
87,178,18,17
88,176,18,17
88,174,18,17
88,173,19,17
87,171,19,17
86,169,18,17
86,168,18,17
86,168,19,17
85,167,19,17
84,167,19,17
84,166,19,17
84,165,19,17
83,164,18,17
83,164,18,17
83,163,18,17
83,162,18,17
83,161,18,17
83,160,18,17
84,159,18,17
85,158,18,17
86,157,19,17
87,155,19,17
88,153,19,17
89,151,19,17
91,149,19,17
93,147,19,17
97,145,19,17
99,144,19,18
103,142,19,18
107,140,19,18
111,139,19,18
115,138,19,18
119,136,19,18
121,135,19,18
125,134,19,18
127,133,19,18
129,132,19,18
131,131,19,18
132,130,19,18
133,129,19,18
134,128,19,18
133,127,19,18
131,126,19,18
127,126,19,18
122,124,19,18
117,123,20,19
112,122,20,19
107,121,21,19
102,120,21,20
98,119,21,20
94,119,21,20
91,119,22,21
90,120,22,21
89,121,22,21
86,118,23,21
82,117,24,22
82,114,24,22
80,112,23,22
80,112,23,21
80,111,23,21
80,110,23,21
80,109,23,22
80,106,23,22
80,105,23,22
80,105,24,22
82,105,24,23
82,100,24,23
84,95,24,23
78,107,24,23
78,104,24,23
78,104,24,23
78,104,24,22
80,106,25,23
78,108,25,24
80,108,25,23
80,110,25,23
80,112,25,23
80,114,25,23
80,116,25,23
80,118,25,23
78,120,25,23
78,122,25,23
78,124,25,23
78,126,25,23
78,128,25,23
80,131,25,23
82,134,24,23
84,137,24,22
86,142,23,22
89,145,23,22
93,148,23,22
97,149,22,21
101,152,22,21
105,155,23,21
111,158,23,21
114,159,23,21
120,162,23,21
123,165,23,21
126,166,23,21
130,166,23,22
131,166,23,22
132,166,24,22
134,164,24,23
132,164,24,23
132,164,24,23
129,162,25,23
126,159,25,23
120,157,25,24
115,154,26,24
108,149,26,25
103,144,26,25
98,139,26,25
93,136,26,25
96,136,25,24
88,130,26,24
85,127,26,25
83,125,26,25
81,123,26,25
81,123,27,25
79,121,27,26
79,119,27,26
79,119,28,26
79,117,28,26
77,117,28,27
77,117,29,27
77,115,29,27
75,113,29,27
75,113,29,27
75,111,29,27
75,109,29,27
75,107,29,27
75,105,28,27
77,103,28,26
79,101,27,26
82,99,27,26
85,97,27,26
90,95,27,26
93,92,27,26
96,89,27,26
99,86,27,26
102,83,27,26
105,81,27,26
108,79,27,26
111,76,27,26
113,73,27,26
115,71,27,26
120,68,27,26
125,66,27,26
120,68,27,26
118,66,27,26
116,66,27,26
113,64,27,26
110,64,27,26
105,64,28,26
101,64,28,26
97,66,28,27
92,68,29,27
86,68,29,27
82,70,29,27
78,72,29,27
74,74,28,27
72,78,29,27
70,78,28,27
70,80,28,27
70,80,28,27
70,80,28,27
70,78,28,27
70,76,28,27
70,74,28,27
72,72,29,27
74,68,30,28
76,62,30,28
78,58,31,29
78,50,31,29
80,44,32,30
82,36,32,30
86,36,32,30
88,40,32,30
88,42,33,31
88,44,33,31
88,44,32,30
90,46,32,30
90,48,32,30
94,52,33,31
96,56,33,31
98,60,34,32
100,64,34,32
102,66,33,31
102,68,33,31
102,70,33,31
104,72,33,31
